Синоптический_индекс_станции,Дата_по_Гринвичу,Сумма_осадков,Средняя_температура
31770,2001-02-02T00:00:00Z,23.7,-12.1
31770,2001-03-22T12:00:00Z,22.9,-0.475
31770,2002-01-22T00:00:00Z,47.9,-4.575
31770,2002-04-17T12:00:00Z,22.4,-0.8
31770,2003-11-21T12:00:00Z,28.1,-2.875
31770,2004-02-03T00:00:00Z,24.6,-4.3999999999999995
31770,2004-03-30T12:00:00Z,27.2,-2.325
31770,2005-11-30T00:00:00Z,23.3,-0.35
31770,2006-03-26T00:00:00Z,39.3,-1.45
31770,2006-11-22T09:00:00Z,25.7,-3.6
31770,2007-03-11T00:00:00Z,34,-5.025
31770,2009-03-06T12:00:00Z,36.7,-1
31770,2009-03-26T12:00:00Z,28.4,-1.525
31770,2009-12-06T00:00:00Z,41.8,-1.075
31770,2009-12-28T00:00:00Z,28.4,-4.325
31770,2010-02-08T12:00:00Z,21.1,-7.5
31770,2010-02-20T00:00:00Z,20.8,-7
31770,2010-04-13T12:00:00Z,28.1,-1.9
31770,2010-12-11T12:00:00Z,46.9,-1.775
31770,2010-12-24T12:00:00Z,20.8,-0.975
31770,2011-11-24T00:00:00Z,21.7,-3.225
31770,2012-12-05T03:00:00Z,23.1,-6
31770,2013-04-07T00:00:00Z,20.3,-1.45
31770,2013-04-07T12:00:00Z,40.2,-1
31770,2015-01-06T00:00:00Z,36.2,-6.1
31770,2015-02-09T00:00:00Z,22,-4.425
31770,2015-02-23T00:00:00Z,41,-1.925
31770,2015-12-03T12:00:00Z,33.5,-1.6
